,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ANALYSIS OF COMPRESSION MEMBERS,,,,,,,,,DESIGN OF COMPRESSION MEMBERS,,,,,,,,,,,,,,,,,,REF,EDI_Std_Nomenclature,AISC_Manual_Label,T_F,W,A,d,ddet,bf,bfdet,tw,twdet,twdet/2,tf,tfdet,kdes,kdet,k1,bf/2tf,h/tw,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw,Wno,rts,ho,Qw,,,PA,PB,PC,PD,T,WGi,WGo,EDI_Std_Nomenclature,AISC_Manual_Label,W,A,d,ddet,bf,bfdet,tw,twdet,twdet/2,tf,tfdet,kdes,kdet,k1,bf/2tf,h/tw,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw,Wno,Sw1,Qf,Qw,rts,ho,PA,PB,PC,PD,T,WGi,WGo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,882,ST6X20.4,ST6X20.4,–,20.4,5.96,6.00,6      ,5.25,5  1/4 ,0.462,  7/16,  1/4 ,0.659, 11/16,1.44,1  7/16,–,3.98,–,18.9,7.71,4.27,1.78,6.74,4.43,2.57,1.06,0.842,0.787,–,–,–,–,,,–,–,–,–,–,3      ,–,ST155X30.35,ST155X30.35,30.4,3850,152,152,133,133,11.7,11.1,6.35,16.7,17.5,36.6,36.5,–,3.98,–,7.87,126,70.0,45.2,2.81,72.6,42.1,26.9,350,0.211,–,–,–,–,–,–,–,–,–,–,–,76.2,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,883,ST6X17.5,ST6X17.5,–,17.5,5.12,6.00,6      ,5.08,5  1/8 ,0.428,  7/16,  1/4 ,0.544,  9/16,1.19,1  3/16,–,4.67,–,17.2,7.12,3.95,1.83,4.92,3.40,1.94,0.980,0.524,0.556,–,–,–,–,,,–,–,–,–,–,3      ,–,ST155X26,ST155X26,26.0,3300,152,152,129,130,10.9,11.1,6.35,13.8,14.3,30.2,30.2,–,4.67,–,7.16,117,64.7,46.5,2.05,55.7,31.8,24.9,218,0.149,–,–,–,–,–,–,–,–,–,–,–,76.2,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,884,ST6X15.9,ST6X15.9,–,15.9,4.65,6.00,6      ,5.00,5      ,0.350,  3/8 ,  3/16,0.544,  9/16,1.19,1  3/16,–,4.60,–,14.8,5.94,3.30,1.78,4.66,3.22,1.87,1.00,0.438,0.364,–,–,–,–,,,–,–,–,–,–,3      ,–,ST155X23.65,ST155X23.65,23.7,3000,152,152,127,127,8.89,9.52,4.76,13.8,14.3,30.2,30.2,–,4.60,–,6.16,97.3,54.1,45.2,1.94,52.8,30.6,25.4,182,0.0977,–,–,–,–,–,–,–,–,–,–,–,76.2,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,885,ST5X17.5,ST5X17.5,–,17.5,5.14,5.00,5      ,4.94,5      ,0.594,  5/8 ,  5/16,0.491,  1/2 ,1.13,1  1/8 ,–,5.03,–,12.5,6.58,3.62,1.56,4.15,3.10,1.68,0.899,0.633,0.725,–,–,–,–,,,–,–,–,–,–,2  3/4 ,–,ST125X26,ST125X26,26.0,3320,127,127,125,127,15.1,15.9,7.94,12.5,12.7,28.7,28.6,–,5.03,–,5.20,108,59.3,39.6,1.73,50.8,27.5,22.8,263,0.195,–,–,–,–,–,–,–,–,–,–,–,69.9,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,886,ST5X12.7,ST5X12.7,–,12.7,3.72,5.00,5      ,4.66,4  5/8 ,0.311,  5/16,  3/16,0.491,  1/2 ,1.13,1  1/8 ,–,4.75,–,7.79,3.70,2.05,1.45,3.36,2.49,1.44,0.950,0.300,0.173,–,–,–,–,,,–,–,–,–,–,2  3/4 ,–,ST125X18.9,ST125X18.9,18.9,2400,127,127,118,117,7.90,7.94,4.76,12.5,12.7,28.7,28.6,–,4.75,–,3.24,60.6,33.6,36.8,1.40,40.8,23.6,24.1,125,0.0465,–,–,–,–,–,–,–,–,–,–,–,69.9,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,887,ST4X11.5,ST4X11.5,–,11.5,3.38,4.00,4      ,4.17,4  1/8 ,0.441,  7/16,  1/4 ,0.425,  7/16,1.00,1      ,–,4.91,–,5.00,3.19,1.76,1.22,2.13,1.84,1.02,0.795,0.271,0.168,–,–,–,–,,,–,–,–,–,–,2  1/4 ,–,ST100X17,ST100X17,17.0,2180,102,102,106,105,11.2,11.1,6.35,10.8,11.1,25.4,25.4,–,4.91,–,2.08,52.3,28.8,31.0,0.887,30.2,16.7,20.2,113,0.0451,–,–,–,–,–,–,–,–,–,–,–,57.2,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,888,ST4X9.2,ST4X9.2,–,9.20,2.70,4.00,4      ,4.00,4      ,0.271,  1/4 ,  1/8 ,0.425,  7/16,1.00,1      ,–,4.71,–,3.49,2.07,1.14,1.14,1.84,1.59,0.922,0.827,0.167,0.0642,–,–,–,–,,,–,–,–,–,–,2  1/4 ,–,ST100X13.7,ST100X13.7,13.7,1740,102,102,102,102,6.88,6.35,3.18,10.8,11.1,25.4,25.4,–,4.71,–,1.45,33.9,18.7,29.0,0.766,26.1,15.1,21.0,69.5,0.0172,–,–,–,–,–,–,–,–,–,–,–,57.2,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,889,ST3X8.6,ST3X8.6,–,8.60,2.53,3.00,3      ,3.57,3  5/8 ,0.465,  7/16,  1/4 ,0.359,  3/8 ,0.813, 13/16,–,4.97,–,2.12,1.85,1.02,0.915,1.14,1.17,0.642,0.673,0.181,0.0772,–,–,–,–,,,–,–,–,–,–,–,–,ST75X12.85,ST75X12.85,12.9,1630,76.2,76.2,90.7,92.1,11.8,11.1,6.35,9.12,9.52,20.7,20.6,–,4.97,–,0.882,30.3,16.7,23.2,0.475,19.2,10.5,17.1,75.3,0.0207,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,890,ST3X6.25,ST3X6.25,–,6.25,1.83,3.00,3      ,3.33,3  3/8 ,0.232,  1/4 ,  1/8 ,0.359,  3/8 ,0.813, 13/16,–,4.64,–,1.26,1.01,0.547,0.831,0.901,0.930,0.541,0.702,0.0830,0.0197,–,–,–,–,,,–,–,–,–,–,–,–,ST75X9.3,ST75X9.3,9.30,1180,76.2,76.2,84.6,85.7,5.89,6.35,3.18,9.12,9.52,20.7,20.6,–,4.64,–,0.524,16.6,8.96,21.1,0.375,15.2,8.87,17.8,34.5,0.00529,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,891,ST2.5X5,ST2.5X5,–,5.00,1.46,2.50,2  1/2 ,3.00,3      ,0.214,  3/16,  1/8 ,0.326,  5/16,0.750,  3/4 ,–,4.60,–,0.671,0.650,0.348,0.677,0.597,0.686,0.398,0.638,0.0568,0.0100,–,–,–,–,,,–,–,–,–,–,–,–,ST65X7.5,ST65X7.5,7.50,942,63.5,63.5,76.2,76.2,5.44,4.76,3.18,8.28,7.94,19.1,19.1,–,4.60,–,0.279,10.7,5.70,17.2,0.248,11.2,6.52,16.2,23.6,0.00269,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,892,ST2X4.75,ST2X4.75,–,4.75,1.40,2.00,2      ,2.80,2  3/4 ,0.326,  5/16,  3/16,0.293,  5/16,0.750,  3/4 ,–,4.78,–,0.462,0.592,0.319,0.575,0.444,0.565,0.317,0.564,0.0590,0.0100,–,–,–,–,,,–,–,–,–,–,–,–,ST50X7.05,ST50X7.05,7.05,903,50.8,50.8,71.1,69.8,8.28,7.94,4.76,7.44,7.94,19.1,19.1,–,4.78,–,0.192,9.70,5.23,14.6,0.185,9.26,5.19,14.3,24.6,0.00267,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,893,ST2X3.85,ST2X3.85,–,3.85,1.13,2.00,2      ,2.66,2  5/8 ,0.193,  3/16,  1/8 ,0.293,  5/16,0.750,  3/4 ,–,4.54,–,0.307,0.381,0.198,0.522,0.374,0.485,0.281,0.576,0.0364,0.00457,–,–,–,–,,,–,–,–,–,–,–,–,ST50X5.75,ST50X5.75,5.75,729,50.8,50.8,67.6,66.7,4.90,4.76,3.18,7.44,7.94,19.1,19.1,–,4.54,–,0.128,6.24,3.24,13.3,0.156,7.95,4.60,14.6,15.2,0.00123,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,894,ST1.5X3.75,ST1.5X3.75,–,3.75,1.10,1.50,1  1/2 ,2.51,2  1/2 ,0.349,  3/8 ,  3/16,0.260,  1/4 ,0.625,  5/8 ,–,4.83,–,0.200,0.351,0.187,0.426,0.289,0.411,0.230,0.513,0.0432,0.00496,–,–,–,–,,,–,–,–,–,–,–,–,ST37.5X5.6,ST37.5X5.6,5.60,710,38.1,38.1,63.8,63.5,8.86,9.52,4.76,6.60,6.35,15.9,15.9,–,4.83,–,0.0832,5.75,3.06,10.8,0.120,6.74,3.77,13.0,18.0,0.00133,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,895,ST1.5X2.85,ST1.5X2.85,–,2.85,0.830,1.50,1  1/2 ,2.33,2  3/8 ,0.170,  3/16,  1/8 ,0.260,  1/4 ,0.625,  5/8 ,–,4.48,–,0.114,0.196,0.0970,0.370,0.223,0.328,0.192,0.518,0.0216,0.00189,–,–,–,–,,,–,–,–,–,–,–,–,ST37.5X4.25,ST37.5X4.25,4.25,535,38.1,38.1,59.2,60.3,4.32,4.76,3.18,6.60,6.35,15.9,15.9,–,4.48,–,0.0475,3.21,1.59,9.40,0.0928,5.37,3.15,13.2,8.99,0.000508,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,896,2L12X12X1-3/8,2L12X12X1-3/8,–,210,62.2,12.0,–,–,–,–,–,–,–,–,–,–,–,–,–,826,176,97.2,3.64,1590,218,133,5.06,–,–,–,–,–,–,,,–,–,–,–,–,–,–,2L345X305X34.9,2L345X305X34.9,312,40100,305,–,–,–,–,–,–,–,–,–,–,–,–,–,344,2880,1590,92.5,662,3570,2180,129,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,897,2L12X12X1-3/8X3/4,2L12X12X1-3/8X3/4,–,210,62.2,12.0,–,–,–,–,–,–,–,–,–,–,–,–,–,826,176,97.2,3.64,1760,241,142,5.32,–,–,–,–,–,–,,,–,–,–,–,–,–,–,2L345X305X34.9X19,2L345X305X34.9X19,312,40100,305,–,–,–,–,–,–,–,–,–,–,–,–,–,344,2880,1590,92.5,733,3950,2330,135,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,898,2L12X12X1-3/8X1-1/2,2L12X12X1-3/8X1-1/2,–,210,62.2,12.0,–,–,–,–,–,–,–,–,–,–,–,–,–,826,176,97.2,3.64,1950,264,153,5.60,–,–,–,–,–,–,,,–,–,–,–,–,–,–,2L345X305X34.9X38,2L345X305X34.9X38,312,40100,305,–,–,–,–,–,–,–,–,–,–,–,–,–,344,2880,1590,92.5,812,4330,2510,142,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,899,2L12X12X1-1/4,2L12X12X1-1/4,–,193,56.8,12.0,–,–,–,–,–,–,–,–,–,–,–,–,–,762,161,89.2,3.66,1440,196,120,5.04,–,–,–,–,–,–,,,–,–,–,–,–,–,–,2L345X305X31.8,2L345X305X31.8,287,36600,305,–,–,–,–,–,–,–,–,–,–,–,–,–,317,2640,1460,93.0,599,3210,1970,128,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,2L12X12X1-1/4X3/4,2L12X12X1-1/4X3/4,–,193,56.8,12.0,–,–,–,–,–,–,–,–,–,–,–,–,–,762,161,89.2,3.66,1590,217,128,5.29,–,–,–,–,–,–,,,–,–,–,–,–,–,–,2L345X305X31.8X19,2L345X305X31.8X19,287,36600,305,–,–,–,–,–,–,–,–,–,–,–,–,–,317,2640,1460,93.0,662,3560,2100,134,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,901,2L12X12X1-1/4X1-1/2,2L12X12X1-1/4X1-1/2,–,193,56.8,12.0,–,–,–,–,–,–,–,–,–,–,–,–,–,762,161,89.2,3.66,1760,239,138,5.57,–,–,–,–,–,–,,,–,–,–,–,–,–,–,2L345X305X31.8X38,2L345X305X31.8X38,287,36600,305,–,–,–,–,–,–,–,–,–,–,–,–,–,317,2640,1460,93.0,733,3920,2260,141,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,902,2L12X12X1-1/8,2L12X12X1-1/8,–,174,51.6,12.0,–,–,–,–,–,–,–,–,–,–,–,–,–,700,147,81.4,3.68,1300,176,108,5.02,–,–,–,–,–,–,,,–,–,–,–,–,–,–,2L345X305X28.6,2L345X305X28.6,259,33300,305,–,–,–,–,–,–,–,–,–,–,–,–,–,291,2410,1330,93.5,541,2880,1770,128,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,903,2L12X12X1-1/8X3/4,2L12X12X1-1/8X3/4,–,174,51.6,12.0,–,–,–,–,–,–,–,–,–,–,–,–,–,700,147,81.4,3.68,1440,195,116,5.28,–,–,–,–,–,–,,,–,–,–,–,–,–,–,2L345X305X28.6X19,2L345X305X28.6X19,259,33300,305,–,–,–,–,–,–,–,–,–,–,–,–,–,291,2410,1330,93.5,599,3200,1900,134,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,904,2L12X12X1-1/8X1-1/2,2L12X12X1-1/8X1-1/2,–,174,51.6,12.0,–,–,–,–,–,–,–,–,–,–,–,–,–,700,147,81.4,3.68,1590,215,125,5.55,–,–,–,–,–,–,,,–,–,–,–,–,–,–,2L345X305X28.6X38,2L345X305X28.6X38,259,33300,305,–,–,–,–,–,–,–,–,–,–,–,–,–,291,2410,1330,93.5,662,3520,2050,141,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,905,2L12X12X1,2L12X12X1,–,156,46.0,12.0,–,–,–,–,–,–,–,–,–,–,–,–,–,630,132,73.0,3.70,1150,155,95.8,5.00,–,–,–,–,–,–,,,–,–,–,–,–,–,–,2L345X305X25.4,2L345X305X25.4,232,29700,305,–,–,–,–,–,–,–,–,–,–,–,–,–,262,2160,1200,94.0,479,2540,1570,127,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,906,2L12X12X1X3/4,2L12X12X1X3/4,–,156,46.0,12.0,–,–,–,–,–,–,–,–,–,–,–,–,–,630,132,73.0,3.70,1270,172,103,5.25,–,–,–,–,–,–,,,–,–,–,–,–,–,–,2L345X305X25.4X19,2L345X305X25.4X19,232,29700,305,–,–,–,–,–,–,–,–,–,–,–,–,–,262,2160,1200,94.0,529,2820,1690,133,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,907,2L12X12X1X1-1/2,2L12X12X1X1-1/2,–,156,46.0,12.0,–,–,–,–,–,–,–,–,–,–,–,–,–,630,132,73.0,3.70,1410,189,111,5.54,–,–,–,–,–,–,,,–,–,–,–,–,–,–,2L345X305X25.4X38,2L345X305X25.4X38,232,29700,305,–,–,–,–,–,–,–,–,–,–,–,–,–,262,2160,1200,94.0,587,3100,1820,141,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,908,2L10X10X1-3/8,2L10X10X1-3/8,–,174,51.2,10.0,–,–,–,–,–,–,–,–,–,–,–,–,–,462,120,66.0,3.00,923,154,92.3,4.25,–,–,–,–,–,–,,,–,–,–,–,–,–,–,2L254X254X34.9,2L254X254X34.9,259,33000,254,–,–,–,–,–,–,–,–,–,–,–,–,–,192,1970,1080,76.2,384,2520,1510,108,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,909,2L10X10X1-3/8X3/4,2L10X10X1-3/8X3/4,–,174,51.2,10.0,–,–,–,–,–,–,–,–,–,–,–,–,–,462,120,66.0,3.00,1050,173,101,4.53,–,–,–,–,–,–,,,–,–,–,–,–,–,–,2L254X254X34.9X19,2L254X254X34.9X19,259,33000,254,–,–,–,–,–,–,–,–,–,–,–,–,–,192,1970,1080,76.2,437,2840,1660,115,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,910,2L10X10X1-3/8X1-1/2,2L10X10X1-3/8X1-1/2,–,174,51.2,10.0,–,–,–,–,–,–,–,–,–,–,–,–,–,462,120,66.0,3.00,1180,192,110,4.80,–,–,–,–,–,–,,,–,–,–,–,–,–,–,2L254X254X34.9X38,2L254X254X34.9X38,259,33000,254,–,–,–,–,–,–,–,–,–,–,–,–,–,192,1970,1080,76.2,491,3150,1800,122,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,911,2L10X10X1-1/4,2L10X10X1-1/4,–,160,46.8,10.0,–,–,–,–,–,–,–,–,–,–,–,–,–,426,110,60.4,3.02,833,138,83.3,4.22,–,–,–,–,–,–,,,–,–,–,–,–,–,–,2L254X254X31.8,2L254X254X31.8,238,30200,254,–,–,–,–,–,–,–,–,–,–,–,–,–,177,1800,990,76.7,347,2260,1370,107,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,912,2L10X10X1-1/4X3/4,2L10X10X1-1/4X3/4,–,160,46.8,10.0,–,–,–,–,–,–,–,–,–,–,–,–,–,426,110,60.4,3.02,943,156,90.9,4.49,–,–,–,–,–,–,,,–,–,–,–,–,–,–,2L254X254X31.8X19,2L254X254X31.8X19,238,30200,254,–,–,–,–,–,–,–,–,–,–,–,–,–,177,1800,990,76.7,392,2560,1490,114,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,913,2L10X10X1-1/4X1-1/2,2L10X10X1-1/4X1-1/2,–,160,46.8,10.0,–,–,–,–,–,–,–,–,–,–,–,–,–,426,110,60.4,3.02,1070,173,99.5,4.78,–,–,–,–,–,–,,,–,–,–,–,–,–,–,2L254X254X31.8X38,2L254X254X31.8X38,238,30200,254,–,–,–,–,–,–,–,–,–,–,–,–,–,177,1800,990,76.7,445,2840,1630,121,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,914,2L10X10X1-1/8,2L10X10X1-1/8,–,145,42.6,10.0,–,–,–,–,–,–,–,–,–,–,–,–,–,392,100,55.2,3.03,750,124,75.0,4.20,–,–,–,–,–,–,,,–,–,–,–,–,–,–,2L254X254X28.6,2L254X254X28.6,216,27500,254,–,–,–,–,–,–,–,–,–,–,–,–,–,163,1640,905,77.0,312,2030,1230,107,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,915,2L10X10X1-1/8X3/4,2L10X10X1-1/8X3/4,–,145,42.6,10.0,–,–,–,–,–,–,–,–,–,–,–,–,–,392,100,55.2,3.03,849,140,81.8,4.46,–,–,–,–,–,–,,,–,–,–,–,–,–,–,2L254X254X28.6X19,2L254X254X28.6X19,216,27500,254,–,–,–,–,–,–,–,–,–,–,–,–,–,163,1640,905,77.0,353,2290,1340,113,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,916,2L10X10X1-1/8X1-1/2,2L10X10X1-1/8X1-1/2,–,145,42.6,10.0,–,–,–,–,–,–,–,–,–,–,–,–,–,392,100,55.2,3.03,960,155,89.3,4.75,–,–,–,–,–,–,,,–,–,–,–,–,–,–,2L254X254X28.6X38,2L254X254X28.6X38,216,27500,254,–,–,–,–,–,–,–,–,–,–,–,–,–,163,1640,905,77.0,400,2540,1460,121,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,917,2L10X10X1,2L10X10X1,–,129,38.0,10.0,–,–,–,–,–,–,–,–,–,–,–,–,–,354,90.0,49.6,3.05,665,109,66.5,4.18,–,–,–,–,–,–,,,–,–,–,–,–,–,–,2L254X254X25.4,2L254X254X25.4,192,24500,254,–,–,–,–,–,–,–,–,–,–,–,–,–,147,1480,813,77.5,277,1790,1090,106,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
