Type,EDI_Std_Nomenclature,AISC_Manual_Label,Design Wall Thickness,Nominal Weight,"Area, A","Depth, d",,Web/Stem,,,,Flange,,,,Distance,,,,,,Shear Critical,Compact Section Criteria,,,b/t,h/t,D/t,Axis X - X,,,,,,Axis Y - Y,,,,,,Axis Z - Z,,,,rts,ho,J/Sxho,Workable Flat,,Torsional Properties,,,,, Surface Area 
,,,,,,,,,,,,,,,,k,,k1,T,Workable Gage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,t,W,,,,"Thickness, tw",,tw/2,Area,"Width, bf",,"Thickness, tf",,kdes,kdet,,,WGi,WGo,eo,,,,,,,I,S,r,y?,Z,yp,I,S,r,x?,Z,xp,I,S,r,tan ?,,,,Depth,Width,J,C,Cw,r?o,H,
,,,in.,lb/ft,in.2,in.,,in.,,in.,in.2,in.,,in.,,in.,,in.,in.,in.,in.,in.,bf/2tf,h/tw,d/tw,,,,in.4,in.3,in.,in.,in.3,in.,in.4,in.3,in.,in.,in.3,in.,in.4,in.3,in.,,in.,in.,,in.,in.,in.4,in.3,in.6,in.,, ft2/ft 
W,W36X210,W36X210,–,210,61.9,36.7,36  3/4 ,0.830, 13/16,  7/16,–,12.2,12  1/8 ,1.36,1  3/8 ,2.11,2  5/8 ,1  5/8 ,31  1/2 ,5  1/2 ,–,–,4.48,39.1,–,–,–,–,13200,719,14.6,–,833,–,411,67.5,2.58,–,107,–,–,–,–,–,3.18,35.3,0.001103,–,–,28.0,–,128000,–,–,–
W,W36X194,W36X194,–,194,57.0,36.5,36  1/2 ,0.765,  3/4 ,  3/8 ,–,12.1,12  1/8 ,1.26,1  1/4 ,2.01,2  1/2 ,1  9/16,31  1/2 ,5  1/2 ,–,–,4.81,42.4,–,–,–,–,12100,664,14.6,–,767,–,375,61.9,2.56,–,97.7,–,–,–,–,–,3.15,35.2,0.000950,–,–,22.2,–,116000,–,–,–
W,W36X182,W36X182,–,182,53.6,36.3,36  3/8 ,0.725,  3/4 ,  3/8 ,–,12.1,12  1/8 ,1.18,1  3/16,1.93,2  3/8 ,1  9/16,31  1/2 ,5  1/2 ,–,–,5.12,44.8,–,–,–,–,11300,623,14.5,–,718,–,347,57.6,2.55,–,90.7,–,–,–,–,–,3.13,35.1,0.000846,–,–,18.5,–,107000,–,–,–
W,W36X170,W36X170,–,170,50.0,36.2,36  1/8 ,0.680, 11/16,  3/8 ,–,12.0,12      ,1.10,1  1/8 ,1.85,2  3/8 ,1  9/16,31  1/2 ,5  1/2 ,–,–,5.47,47.7,–,–,–,–,10500,581,14.5,–,668,–,320,53.2,2.53,–,83.8,–,–,–,–,–,3.11,35.1,0.000740,–,–,15.1,–,98500,–,–,–
W,W36X160,W36X160,–,160,47.0,36.0,36      ,0.650,  5/8 ,  5/16,–,12.0,12      ,1.02,1      ,1.77,2  1/4 ,1  9/16,31  1/2 ,5  1/2 ,–,–,5.88,49.9,–,–,–,–,9760,542,14.4,–,624,–,295,49.1,2.50,–,77.3,–,–,–,–,–,3.09,35.0,0.000654,–,–,12.4,–,90200,–,–,–
W,W36X150,W36X150,–,150,44.3,35.9,35  7/8 ,0.625,  5/8 ,  5/16,–,12.0,12      ,0.940, 15/16,1.69,2  3/16,1  1/2 ,31  1/2 ,5  1/2 ,–,–,6.37,51.9,–,–,–,–,9040,504,14.3,–,581,–,270,45.1,2.47,–,70.9,–,–,–,–,–,3.06,35.0,0.000573,–,–,10.1,–,82200,–,–,–
W,W36X135,W36X135,–,135,39.9,35.6,35  1/2 ,0.600,  5/8 ,  5/16,–,12.0,12      ,0.790, 13/16,1.54,2  1/16,1  1/2 ,31  1/2 ,5  1/2 ,–,–,7.56,54.1,–,–,–,–,7800,439,14.0,–,509,–,225,37.7,2.38,–,59.7,–,–,–,–,–,2.99,34.8,0.000458,–,–,7.00,–,68100,–,–,–
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W33X387,W33X387,–,387,114,36.0,36      ,1.26,1  1/4 ,  5/8 ,–,16.2,16  1/4 ,2.28,2  1/4 ,3.07,3  9/16,1 13/16,28  7/8 ,5  1/2 ,3    ,–,3.55,23.7,–,–,–,–,24300,1350,14.6,–,1560,–,1620,200,3.77,–,312,–,–,–,–,–,4.49,33.7,0.003253,–,–,148,–,459000,–,–,–
W,W33X354,W33X354,–,354,104,35.6,35  1/2 ,1.16,1  3/16,  5/8 ,–,16.1,16  1/8 ,2.09,2  1/16,2.88,3  3/8 ,1 13/16,28  7/8 ,5  1/2 ,3    ,–,3.85,25.7,–,–,–,–,22000,1240,14.5,–,1420,–,1460,181,3.74,–,282,–,–,–,–,–,4.44,33.5,0.002768,–,–,115,–,408000,–,–,–
